Time RV eRV BIS FWHM S-index Halpha NaD1 NaD2 3AP2-1 3AP3-2 6AP2-1 6AP3-2 6AP4-3 6AP5-4 6AP6-5 9AP2-1 9AP3-2 9AP4-3 9AP5-4 9AP6-5 9AP7-6 9AP8-7 9AP9-8 c3AP2-1
52937.574934 -11.5354197562683 0.344723949111822 21.415507 6.165052926 0.405520761184633 0.714583709256457 1.26126661604329 1.01451510136971 -1.49887068693443 -2.5664096732249 1.00884287860455 0.12122063025576 -3.56072501930951 0.611754825549399 -3.9953724161139 -2.13304658199778 2.58544999585126 -1.68822762949346 0.188717438598101 -2.856333855043 1.5863108483343 -7.0614592440433 6.2910720200521 -0.375378006771101
52940.537537 -16.118776171653 0.424499585940251 24.47687 6.154034282 0.387805642449499 0.714117915520228 1.26161121076098 1.01364399712502 -0.439824041967201 -3.6596406200015 2.0404334706065 1.0775640120147 -3.602351544084 -1.0432505408478 -2.3204296422597 7.8954799598948 -2.2628959844597 1.0520016591882 0.704850253952999 -3.8389885864863 -0.772804725044502 -2.9891609909504 5.0444856351246 -0.882489743446028
52940.541345 -15.0106294585801 0.384564138763834 24.674123 6.155766391 0.385755898015225 0.712798459334992 1.26064215097111 1.01315100232527 -2.9624000853764 -4.2563330363734 2.063271579713 -2.4152577700285 -1.793696886547 -2.4163262753136 -2.5740829947514 2.7637706056106 -0.899030931029399 -1.7861791179476 -1.7889586355128 0.7768866163276 -3.4116077931808 -2.2111310813646 2.0665905292749 -0.62264849450399
52945.55392 -15.8505742075763 0.413165247518741 19.157477 6.139828034 0.360727439434704 0.706712876700821 1.26589378476189 1.01839373657911 -2.8845622016334 -1.859512980812 -1.1483925641727 0.372149425952401 -5.9154851772349 1.6775985363172 -1.7254626227127 -2.5715057752176 2.8092203907635 -1.4273688572021 -3.09929095746 -1.4408859248404 0.351760424359099 0.341335490429902 -2.3260200163347 -1.24746430133476
52945.558133 -17.6345716364335 0.499076070439629 19.028413 6.140780298 0.359421901942478 0.704365032399928 1.26435766830424 1.01813188573084 -5.3790185104317 -2.1075518944934 -7.82908291271004 -2.6397876742621 -2.58967678144 -1.6076282316326 1.7615325370992 1.1240425214429 -3.9732397184977 -3.187466967383 -1.4255599088517 1.1118896725138 -2.8304468411218 -1.0498617498743 5.6657428103849 -1.14927417637802
52983.526024 -17.1641445358158 0.288729731908385 19.418171 6.14604421 0.374474373878325 0.715463875365312 1.27043515819849 1.01758761988488 -4.3653574324702 -0.497027999232699 -4.7501021054565 -1.1746612027044 -4.5521671345148 2.135723553765 -0.129775895286702 -3.77331790663943 -5.8986725228453 1.0655540841162 -2.6104457673217 -2.1346812146086 2.2118088174517 -0.1214033995177 -0.148510256696202 -3.28664553886823
52983.529716 -17.1836769505392 0.286561645477504 18.636851 6.146308552 0.376160981404897 0.715805328186049 1.27057517820834 1.01723830405694 -4.7793798998742 0.3566191642884 -4.1135424090466 -1.7968493874372 -4.4998195379635 2.9246230536721 0.0404492196214008 -0.2906521749983 -5.185975209461 -0.29239484731 -2.2521836473372 -2.104299942746 2.8085506900124 1.4831119607406 -4.1982447254151 -3.28664553886823
52983.53357 -17.1446982186298 0.286399649189635 18.54767 6.147247296 0.375272317348794 0.716114279078216 1.27128280896244 1.01798592274814 -4.4865571557079 -0.9577840181448 -4.8442450756497 -1.4628449395155 -4.1863803405057 1.0335783162024 1.3439895768391 -1.39900642732025 -5.7764063868806 0.237643530849599 -1.6053728928478 -2.711235523449 1.6314132783035 -0.661041519833798 2.4063343697886 -3.28664553886823
52983.537458 -17.0124404076671 0.285317470733897 18.498037 6.146788112 0.377008522490105 0.714767133371966 1.27075523248172 1.01724442209879 -3.9313884335023 -0.253084282585899 -3.684235232612 -1.3445583711617 -3.8504801366525 2.5453624904693 -1.7614768078018 -2.94517566183142 -5.2798826567718 0.9273442049974 -2.628972317505 -1.4545356167532 2.989972739708 -1.8758317208527 -1.5894485181419 -3.28664553886823
52983.541312 -16.2926356866056 0.288491220683799 18.91135 6.146229223 0.37646764624923 0.713568706114933 1.27015144086748 1.01673848628834 -4.4035526939427 -0.932459788253603 -3.5895174916715 -1.4260288995894 -4.7991060513264 2.2565918657021 -1.4146535672068 -0.7058085455257 -4.7778704680093 0.123420512672601 -2.4925448368832 -2.283879148965 2.3488815582747 -0.796749609001498 -1.5158683345406 -3.28664553886823
